proyecto,folioviv,foliohog,numren,numtrab,tipoact,cose_cria,prep_deriv,valproc,valrema,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,procampo,mesproc,progan,mesprogan,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,com_fis,reg_cont,reg_not,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
1,017198,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,20000,0,No,,,,,0,,0,,1,1,0,0,,,1,1,0,0,,,Ninguno,No,No,131400,2774,0,85000,32939.35,695.39,0,21307.8,12326.94,0
1,017205,0,01,Trabajo principal,Actividades agrícolas,Sí,,50000,0,No,,,,,10000,Mayo,,,0,,,,,,,,,,,,Ninguno,No,No,0,0,0,30500,0,0,0,7645.74,0,7645.74
1,018144,0,01,Trabajo principal,Actividades agrícolas,Sí,,0,0,No,,,,,8000,Septiembre,,,0,,,,,,,,,,,,Ninguno,No,No,0,32000,0,14000,0,8065.6,0,3528.7,4536.9,0
1,018144,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,0,36000,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,0,0,0,0,0,0,0,0,0,0
1,018167,0,01,Trabajo principal,Actividades agrícolas,Sí,,11500,0,No,,,,,0,,,,3,3,0,0,,,3,3,0,0,,,Ninguno,No,No,0,0,0,19600,0,0,0,4940.18,0,4940.18
1,018167,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,2000,0,No,,,,,0,,0,,3,3,0,0,,,3,3,0,0,,,Ninguno,No,No,13440,0,0,5600,3387.55,0,0,1411.48,1976.07,0
1,018170,0,02,Trabajo principal,Actividades de cría y explotación de animales,Sí,No,17500,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,0,0,0,16920,0,0,0,4264.69,0,4264.69
1,023019,0,01,Trabajo principal,Actividades de pesca,Sí,No,0,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,51792,1296,0,2100,13054.17,326.66,0,529.31,12851.53,0
1,028171,0,01,Trabajo principal,Actividades de cría y explotación de animales,Sí,Sí,15500,0,Sí,,,,,16000,Julio,0,,10,8,2,10,8,2,0,,,0,,,,,Sí,33840,964,0,447964,8529.370000000001,242.98,0,112909.33,0,104136.98
1,031195,0,03,Trabajo secundario,Actividades de pesca,Sí,No,0,0,No,,,,,0,,0,,0,,,,,,,,,,,,Ninguno,No,No,29800,200,0,7400,7425.56,49.84,0,1843.93,5631.47,0
