proyecto,folioviv,foliohog,numren,fecha_nac,selecc
1,0100494804,1,01,15090000,2
1,0100494804,1,02,19020000,1
1,0100494805,1,01,02030000,1
1,0100494805,1,02,21090000,2
1,0100515801,1,01,03060000,1
1,0100515801,1,02,17060000,2
1,0100515802,1,02,20050000,2
1,0100515802,1,01,14020000,1
1,0100515803,1,03,09110000,1
1,0100515803,1,02,18030000,2
1,0100515803,1,01,09060000,2
1,0100515804,1,03,06090000,2
1,0100515804,1,01,22080000,2
1,0100515804,1,02,22040000,1
1,0100525801,1,02,11040000,1
1,0100525801,1,01,20090000,2
1,0100525802,1,01,26010000,2
1,0100525802,1,02,28120000,1
1,0100525803,1,02,13060000,2
1,0100525803,1,01,10040000,1
1,0100525804,1,01,19100000,2
1,0100525804,1,02,22100000,1
1,0100525805,1,02,19040000,1
1,0100525805,1,01,18100000,2
1,0100527601,1,01,20010000,1
1,0100527601,1,02,08060000,2
1,0100527601,1,03,12040000,2
1,0100527602,1,02,22060000,2
1,0100527602,1,01,24040000,1
1,0100527603,1,01,03030000,2
1,0100527603,1,05,13100000,1
1,0100527603,1,04,14110000,2
1,0100527603,1,03,31120000,2
1,0100527603,1,02,25040000,2
1,0100527604,1,05,24090000,2
1,0100527604,1,04,26070000,2
1,0100527604,1,03,06070000,2
1,0100527604,1,02,03040000,2
1,0100527604,1,01,17110000,1
1,0100527605,1,02,22050000,1
1,0100527605,1,01,08090000,2
1,0100535601,1,02,21100000,1
1,0100535601,1,01,29050000,2
1,0100535602,1,02,07120000,1
1,0100535602,1,01,02050000,2
1,0100535603,1,05,11060000,2
1,0100535603,1,04,23020000,2
1,0100535603,1,02,26040000,2
1,0100535603,1,01,15120000,1
1,0100535603,1,03,23040000,2
1,0100535604,1,04,17100000,1
1,0100535604,1,03,17120000,2
1,0100535604,1,02,01060000,2
1,0100535604,1,01,12120000,2
1,0100535605,1,01,20040000,2
1,0100535605,1,02,22020000,1
1,0100542601,1,02,15110000,1
1,0100542601,1,01,07070000,2
1,0100542602,1,01,03090000,2
1,0100542602,1,02,12010000,1
1,0100542602,1,03,29020000,2
1,0100542602,1,04,16090000,2
1,0100542604,1,01,12090000,2
1,0100542604,1,02,08100000,1
1,0100542605,1,01,21040000,1
1,0100556901,1,01,03050000,2
1,0100556901,1,02,26010000,1
1,0100556904,1,02,22020000,2
1,0100556904,1,01,18060000,2
1,0100556904,1,03,24030000,2
1,0100556904,1,04,30040000,2
1,0100556904,1,05,05010000,1
1,0100556904,1,06,30090000,2
1,0100556904,2,01,08090000,2
1,0100556904,2,02,28050000,1
1,0100556905,1,02,30090000,2
1,0100556905,1,01,24010000,1
1,0100561901,1,01,03050000,2
1,0100561901,1,02,10020000,1
1,0100561902,1,03,18020000,1
1,0100561902,1,02,28080000,2
1,0100561902,1,01,04030000,2
1,0100561902,1,04,06090000,2
1,0100561903,1,01,22120000,1
1,0100561903,1,02,20040000,2
1,0100561904,1,06,22010000,1
1,0100561904,1,04,09020000,2
1,0100561904,1,03,15030000,2
1,0100561904,1,02,22060000,2
1,0100561904,1,01,22030000,2
1,0100561904,1,05,09030000,2
1,0100561905,1,01,06010000,1
1,0100561905,1,02,02090000,2
1,0100561905,1,03,12050000,2
1,0100587901,1,01,03080000,2
1,0100587901,1,02,11100000,2
1,0100587901,1,03,03040000,1
1,0100587901,1,04,03040000,2
1,0100587902,1,02,10080000,2
1,0100587902,1,01,04030000,1
1,0100587903,1,01,02070000,2
1,0100587903,1,02,19060000,1
1,0100587904,1,02,10060000,2
1,0100587904,1,03,27120000,1
1,0100587904,1,01,22050000,2
1,0100587905,1,04,14100000,2
1,0100587905,1,03,14020000,2
1,0100587905,1,01,01010000,1
1,0100587905,1,02,21020000,2
1,0100596201,1,01,09080000,2
1,0100596201,1,02,07060000,1
1,0100596202,1,01,05010000,2
1,0100596202,1,04,30010000,2
1,0100596202,1,03,05070000,2
1,0100596202,1,02,27100000,1
1,0100596202,1,05,05020000,2
1,0100596203,1,02,21060000,2
1,0100596203,1,01,05110000,1
1,0100597201,1,02,12050000,2
1,0100597201,1,01,04050000,1
1,0100597201,1,04,19070000,2
1,0100597201,1,03,04070000,2
1,0100597202,1,01,18120000,1
1,0100597202,1,02,04050000,2
1,0100597204,1,03,04110000,1
1,0100597204,1,01,12050000,2
1,0100597204,1,02,04110000,2
1,0100597205,1,03,11110000,1
1,0100597205,1,01,19090000,2
1,0100597205,1,02,27030000,2
1,0100605201,1,01,14040000,2
1,0100605201,1,02,14100000,1
1,0100605202,1,02,20120000,2
1,0100605202,1,01,01110000,1
1,0100605204,1,02,03110000,1
1,0100605204,1,01,22120000,2
1,0100605204,1,03,20060000,2
1,0100605205,1,01,17040000,2
1,0100605205,1,02,10090000,1
1,0100605205,1,03,12120000,2
1,0100619701,1,01,06090000,1
1,0100619701,1,02,15090000,2
1,0100619702,1,02,08010000,1
1,0100619702,1,01,11050000,2
1,0100619702,1,03,15040000,2
1,0100619703,1,02,09120000,2
1,0100619703,1,01,08120000,1
1,0100626701,1,05,03080000,2
1,0100626701,1,04,09090000,2
1,0100626701,1,03,06050000,2
1,0100626701,1,01,28100000,1
1,0100626701,1,02,23060000,2
1,0100626702,1,01,08110000,1
1,0100626702,1,02,22050000,2
1,0100626703,1,02,01090000,1
1,0100626703,1,01,09090000,2
1,0100626704,1,01,08110000,2
1,0100626704,1,02,01030000,1
1,0100626705,1,03,07010000,2
1,0100626705,1,02,14010000,2
1,0100626705,1,01,29100000,1
1,0100626705,1,05,01060000,2
1,0100626705,1,04,20010000,2
1,0100650701,1,03,03120000,2
1,0100650701,1,02,21040000,2
1,0100650701,1,01,14110000,1
1,0100650701,1,05,19040000,2
1,0100650701,1,04,25120000,2
1,0100650702,1,03,15020000,1
1,0100650702,1,02,09060000,2
1,0100650702,1,01,10040000,2
1,0100650703,1,02,18080000,2
1,0100650703,1,01,31020000,1
1,0100650704,1,03,17050000,2
1,0100650704,1,04,17060000,2
1,0100650704,1,02,03030000,1
1,0100650704,1,01,17070000,2
1,0100658401,1,01,05010000,2
1,0100658401,1,02,11080000,2
1,0100658401,1,03,04010000,1
1,0100658401,1,04,01070000,2
1,0100658402,1,03,17060000,2
1,0100658402,1,04,04070000,2
1,0100658402,1,05,21120000,2
1,0100658402,1,02,03100000,1
1,0100658402,1,01,05010000,2
1,0100658403,1,01,13020000,2
1,0100658403,1,02,08110000,1
1,0100658404,1,02,08080000,2
1,0100658404,1,01,26080000,2
1,0100658404,1,03,21090000,1
1,0100658404,1,04,10100000,2
1,0100658405,1,01,13030000,1
1,0100658405,1,02,11090000,2
